Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals
Sweden,SWE,1988,8436489.0,4,0,2,6
United States,USA,1988,244499000.0,2,1,3,6
Austria,AUT,1992,7840709.0,6,7,8,21
Canada,CAN,1992,28371264.0,2,3,2,7
China,CHN,1992,1164970000.0,0,3,0,3
Spain,ESP,1992,39157685.0,0,0,1,1
Finland,FIN,1992,5041992.0,3,1,3,7
France,FRA,1992,58849943.0,3,5,1,9
Italy,ITA,1992,56797087.0,4,6,4,14
Japan,JPN,1992,124425000.0,1,2,4,7
"Korea, Rep.",KOR,1992,43747962.0,2,1,1,4
Luxembourg,LUX,1992,392175.0,0,2,0,2
Norway,NOR,1992,4286401.0,9,6,5,20
New Zealand,NZL,1992,3531700.0,0,1,0,1
"Korea, Dem. People's Rep.",PRK,1992,21439991.0,0,0,1,1
Sweden,SWE,1992,8668067.0,1,0,3,4
United States,USA,1992,256514000.0,5,4,2,11
Australia,AUS,1994,17805468.0,0,0,1,1
Austria,AUT,1994,7936118.0,2,3,4,9
Belarus,BLR,1994,10226955.0,0,2,0,2
Canada,CAN,1994,29000663.0,3,6,4,13
China,CHN,1994,1191835000.0,0,1,2,3
Finland,FIN,1994,5088333.0,0,1,5,6
France,FRA,1994,59327585.0,0,1,4,5
United Kingdom,GBR,1994,57865745.0,0,0,2,2
Italy,ITA,1994,56843400.0,7,5,8,20
Japan,JPN,1994,125178000.0,1,2,2,5
Kazakhstan,KAZ,1994,16145766.0,1,2,0,3
"Korea, Rep.",KOR,1994,44641540.0,4,1,1,6
Norway,NOR,1994,4336613.0,10,11,5,26
Russian Federation,RUS,1994,148407912.0,11,8,4,23
Sweden,SWE,1994,8780745.0,2,1,0,3
Ukraine,UKR,1994,51921400.0,1,0,1,2
United States,USA,1994,263126000.0,6,5,2,13
Uzbekistan,UZB,1994,22377000.0,1,0,0,1
Australia,AUS,1998,18607584.0,0,0,1,1
Austria,AUT,1998,7976789.0,3,5,9,17
Belgium,BEL,1998,10203008.0,0,0,1,1
Belarus,BLR,1998,10071963.0,0,0,2,2
Canada,CAN,1998,30155173.0,6,5,4,15
China,CHN,1998,1241935000.0,0,6,2,8
Czechia,CZE,1998,10294373.0,1,1,1,3
Finland,FIN,1998,5153498.0,2,4,6,12
France,FRA,1998,60192790.0,2,1,5,8
United Kingdom,GBR,1998,58487141.0,0,0,1,1
Italy,ITA,1998,56906744.0,2,6,2,10
Japan,JPN,1998,126400000.0,5,1,4,10
Kazakhstan,KAZ,1998,15071640.0,0,0,2,2
"Korea, Rep.",KOR,1998,46286503.0,3,1,2,6
Norway,NOR,1998,4431464.0,10,10,5,25
Russian Federation,RUS,1998,147670784.0,9,6,3,18
Sweden,SWE,1998,8850974.0,0,2,1,3
Ukraine,UKR,1998,50144500.0,0,1,0,1
United States,USA,1998,275854000.0,6,3,4,13
Australia,AUS,2002,19495210.0,2,0,0,2
Austria,AUT,2002,8081957.0,3,3,10,16
Belarus,BLR,2002,9865548.0,0,0,1,1
Canada,CAN,2002,31360079.0,7,3,7,17
China,CHN,2002,1280400000.0,2,2,4,8
Czechia,CZE,2002,10196916.0,1,2,0,3
Estonia,EST,2002,1379350.0,1,1,1,3
Finland,FIN,2002,5200598.0,4,2,1,7
France,FRA,2002,61816234.0,4,5,2,11
United Kingdom,GBR,2002,59370479.0,1,0,0,1
Italy,ITA,2002,57059007.0,4,4,5,13
Japan,JPN,2002,127445000.0,0,1,1,2
"Korea, Rep.",KOR,2002,47644736.0,2,2,0,4
Norway,NOR,2002,4538159.0,13,5,7,25
Poland,POL,2002,38230364.0,0,1,1,2
Russian Federation,RUS,2002,145306497.0,5,4,4,13
Sweden,SWE,2002,8924958.0,0,2,5,7
United States,USA,2002,287625193.0,8,12,11,31
Australia,AUS,2006,20450966.0,1,0,1,2
Austria,AUT,2006,8268641.0,9,7,7,23
Belarus,BLR,2006,9604924.0,0,1,0,1
Canada,CAN,2006,32571174.0,6,9,6,21
China,CHN,2006,1311020000.0,2,4,5,11
Czechia,CZE,2006,10238905.0,1,2,1,4
Estonia,EST,2006,1346810.0,3,0,0,3
Finland,FIN,2006,5266268.0,0,6,3,9
France,FRA,2006,63628261.0,3,2,4,9
Italy,ITA,2006,58143979.0,5,0,6,11
Japan,JPN,2006,127854000.0,1,0,0,1
"Korea, Rep.",KOR,2006,48438292.0,6,3,2,11
Norway,NOR,2006,4660677.0,2,8,9,19
Poland,POL,2006,38141267.0,0,1,1,2
Russian Federation,RUS,2006,143049637.0,8,6,8,22
Slovak Republic,SVK,2006,5373054.0,0,1,0,1
Sweden,SWE,2006,9080505.0,7,2,5,14
Ukraine,UKR,2006,46787786.0,0,0,2,2
United States,USA,2006,298379912.0,9,9,7,25
Australia,AUS,2010,22031750.0,2,1,0,3
Austria,AUT,2010,8363404.0,4,6,6,16
Belarus,BLR,2010,9483836.0,1,1,1,3
Canada,CAN,2010,34004889.0,14,7,5,26
China,CHN,2010,1337705000.0,5,2,4,11
Czechia,CZE,2010,10474410.0,2,0,4,6
Estonia,EST,2010,1331475.0,0,1,0,1
Finland,FIN,2010,5363352.0,0,1,4,5
France,FRA,2010,65030575.0,2,3,6,11
United Kingdom,GBR,2010,62766365.0,1,0,0,1
Italy,ITA,2010,59277417.0,1,1,3,5
Japan,JPN,2010,128070000.0,0,3,2,5
Kazakhstan,KAZ,2010,16321872.0,0,1,0,1
"Korea, Rep.",KOR,2010,49554112.0,6,6,2,14
Norway,NOR,2010,4889252.0,9,8,6,23
Poland,POL,2010,38042794.0,1,3,2,6
Russian Federation,RUS,2010,142849468.0,3,5,7,15
Slovak Republic,SVK,2010,5391428.0,1,1,1,3
Sweden,SWE,2010,9378126.0,5,2,4,11
United States,USA,2010,309327143.0,9,15,13,37
Australia,AUS,2014,23475686.0,0,2,1,3
Austria,AUT,2014,8546356.0,4,8,5,17
Belarus,BLR,2014,9448515.0,5,0,1,6
Canada,CAN,2014,35437435.0,10,10,5,25
China,CHN,2014,1371860000.0,3,4,2,9
Czechia,CZE,2014,10525347.0,2,4,3,9
Finland,FIN,2014,5461512.0,1,3,1,5
France,FRA,2014,66312067.0,4,4,7,15
United Kingdom,GBR,2014,64602298.0,1,1,3,5
Italy,ITA,2014,60789140.0,0,2,6,8
Japan,JPN,2014,127276000.0,1,4,3,8
Kazakhstan,KAZ,2014,17288285.0,0,0,1,1
"Korea, Rep.",KOR,2014,50746659.0,3,3,2,8
Norway,NOR,2014,5137232.0,11,6,9,26
Poland,POL,2014,38011735.0,4,1,1,6
Russian Federation,RUS,2014,143819667.0,10,10,9,29
Slovak Republic,SVK,2014,5418649.0,1,0,0,1
Sweden,SWE,2014,9696110.0,2,7,6,15
Ukraine,UKR,2014,45272155.0,1,0,1,2
United States,USA,2014,318386329.0,9,9,10,28
Australia,AUS,2018,24966643.0,0,2,1,3
Austria,AUT,2018,8840521.0,5,3,6,14
Belgium,BEL,2018,11427054.0,0,1,0,1
Belarus,BLR,2018,9438785.0,2,1,0,3
Canada,CAN,2018,37065084.0,11,8,10,29
China,CHN,2018,1402760000.0,1,6,2,9
Czechia,CZE,2018,10629928.0,2,2,3,7
Spain,ESP,2018,46797754.0,0,0,2,2
Finland,FIN,2018,5515525.0,1,1,4,6
France,FRA,2018,67158348.0,5,4,6,15
United Kingdom,GBR,2018,66460344.0,1,0,4,5
Hungary,HUN,2018,9775564.0,1,0,0,1
Italy,ITA,2018,60421760.0,3,2,5,10
Japan,JPN,2018,126811000.0,4,5,4,13
Kazakhstan,KAZ,2018,18276452.0,0,0,1,1
"Korea, Rep.",KOR,2018,51585058.0,5,8,4,17
Liechtenstein,LIE,2018,38181.0,0,0,1,1
Norway,NOR,2018,5311916.0,14,14,11,39
New Zealand,NZL,2018,4900600.0,0,0,2,2
Poland,POL,2018,37974750.0,1,0,1,2
Slovak Republic,SVK,2018,5446771.0,1,2,0,3
Sweden,SWE,2018,10175214.0,7,6,1,14
Ukraine,UKR,2018,44622518.0,1,0,0,1
United States,USA,2018,326838199.0,9,8,6,23
